repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,coverage_judged,coverage_score,total_facts,missing_facts,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,text_overlap_scored,bleu4,rouge_l,meteor,bertscore_f1,quality_judged,quality_mean_score,quality_completeness,quality_conciseness,quality_correctness,quality_cohesiveness,quality_domain_specificity,failure_tags,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,raw,success,53670,2555,119,0.0,gemma2:9b,False,True,0.125,8,1,True,0.2,15,12,True,1.0,1.0,1.0,1.0,True,0.0392,0.2766,0.2141,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,over_generic",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,dependency_graph,success,19731,549,94,0.0,gemma2:9b,False,True,0.1429,7,1,True,0.3333,15,10,True,1.0,1.0,1.0,1.0,True,0.0234,0.1481,0.1419,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,over_generic",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,knowledge_graph,success,15211,675,137,0.0,gemma2:9b,False,True,0.25,8,2,True,0.3333,15,10,True,1.0,1.0,1.0,1.0,True,0.0459,0.2617,0.2391,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,raw,success,34107,2348,141,0.0,gemma2:9b,False,True,0.25,8,2,True,0.4211,19,11,True,1.0,1.0,1.0,1.0,True,0.0197,0.2198,0.1718,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_framework_or_language,missed_dependency",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,dependency_graph,success,15808,556,137,0.0,gemma2:9b,False,True,0.3333,6,2,True,0.5789,19,8,True,1.0,1.0,1.0,1.0,True,0.0124,0.1867,0.113,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,knowledge_graph,success,18666,650,167,0.0,gemma2:9b,False,True,0.3,10,3,True,0.5789,19,8,True,1.0,1.0,1.0,1.0,True,0.0167,0.2157,0.1444,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,raw,success,52921,8164,101,0.0,gemma2:9b,False,True,0.1667,6,1,True,0.0526,57,54,True,0.9744,0.125,0.0,0.3665,True,0.0023,0.1471,0.0659,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,dependency_graph,success,54695,1817,350,0.0,gemma2:9b,False,True,0.2727,11,3,True,0.9649,57,2,True,0.9744,0.125,0.0,0.3665,True,0.0189,0.1887,0.1118,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,knowledge_graph,success,45735,1309,338,0.0,gemma2:9b,False,True,0.0357,28,1,True,0.6491,57,20,True,0.9744,0.125,0.0,0.3665,True,0.0109,0.1584,0.1125,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,raw,success,42611,4966,106,0.0,gemma2:9b,False,True,0.2857,7,2,True,0.1136,44,39,True,1.0,1.0,1.0,1.0,True,0.0112,0.2,0.1574,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,dependency_graph,success,37091,819,287,0.0,gemma2:9b,False,True,0.2,10,2,True,0.9545,44,2,True,1.0,1.0,1.0,1.0,True,0.0195,0.1481,0.0978,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,knowledge_graph,success,31598,851,277,0.0,gemma2:9b,False,True,0.1,10,1,True,0.7955,44,9,True,1.0,1.0,1.0,1.0,True,0.0119,0.15,0.1127,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,raw,success,210728,7982,734,0.0,gemma2:9b,False,True,0.0,0,0,True,0.0702,57,53,True,1.0,1.0,0.0667,0.6889,True,0.0024,0.0433,0.0439,0.0,False,,,,,,,"missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,over_generic",
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,dependency_graph,success,54041,1335,322,0.0,gemma2:9b,False,True,0.3571,14,5,True,1.0,57,0,True,1.0,1.0,0.0667,0.6889,True,0.011,0.169,0.0689,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,over_generic",
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,codellama:7b-instruct,knowledge_graph,success,45021,1193,317,0.0,gemma2:9b,False,True,0.4167,12,5,True,1.0,57,0,True,1.0,1.0,0.0667,0.6889,True,0.0229,0.169,0.1466,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology",
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,raw,success,64314,7789,114,0.0,gemma2:9b,False,True,0.1,10,1,True,0.1746,63,52,True,1.0,1.0,0.4,0.8,True,0.0091,0.0667,0.0668,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,dependency_graph,success,120098,6001,363,0.0,gemma2:9b,False,True,0.3889,18,7,True,1.0,63,0,True,1.0,1.0,0.4,0.8,True,0.0096,0.1013,0.0412,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology",
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,codellama:7b-instruct,knowledge_graph,success,71917,2751,361,0.0,gemma2:9b,False,True,0.375,16,6,True,1.0,63,0,True,1.0,1.0,0.4,0.8,True,0.0304,0.1798,0.114,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology",
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,raw,success,109940,4098,463,0.0,gemma2:9b,False,True,0.125,16,2,True,0.3333,33,22,True,1.0,1.0,1.0,1.0,True,0.0024,0.0747,0.1034,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,dependency_graph,success,26705,744,187,0.0,gemma2:9b,False,True,0.2,10,2,True,0.6364,33,12,True,1.0,1.0,1.0,1.0,True,0.0131,0.1791,0.094,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,codellama:7b-instruct,knowledge_graph,success,23101,817,192,0.0,gemma2:9b,False,True,0.3333,6,2,True,0.6667,33,11,True,1.0,1.0,1.0,1.0,True,0.0122,0.1972,0.0929,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,raw,success,91431,6776,223,0.0,gemma2:9b,False,True,1.0,10,10,True,0.1351,37,32,True,1.0,1.0,1.0,1.0,True,0.0088,0.1769,0.0935,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,dependency_graph,success,52185,894,134,0.0,gemma2:9b,False,True,0.2,10,2,True,0.3514,37,24,True,1.0,1.0,1.0,1.0,True,0.0099,0.1127,0.0567,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,codellama:7b-instruct,knowledge_graph,success,37336,913,261,0.0,gemma2:9b,False,True,0.1818,11,2,True,0.0,37,37,True,1.0,1.0,1.0,1.0,True,0.0111,0.1351,0.07,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,raw,success,50690,4763,152,0.0,gemma2:9b,False,True,0.2,10,2,True,0.2692,52,38,True,1.0,1.0,0.1818,0.7273,True,0.0254,0.3158,0.2226,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,dependency_graph,success,39796,938,315,0.0,gemma2:9b,False,True,0.0714,14,1,True,0.3077,52,36,True,1.0,1.0,0.1818,0.7273,True,0.0303,0.25,0.2342,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,over_generic",
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,codellama:7b-instruct,knowledge_graph,success,39785,994,337,0.0,gemma2:9b,False,True,0.2143,14,3,True,1.0,52,0,True,1.0,1.0,0.1818,0.7273,True,0.0231,0.2353,0.1752,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology",
