repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,coverage_judged,coverage_score,total_facts,missing_facts,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,text_overlap_scored,bleu4,rouge_l,meteor,bertscore_f1,quality_judged,quality_mean_score,quality_completeness,quality_conciseness,quality_correctness,quality_cohesiveness,quality_domain_specificity,failure_tags,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,raw,success,36802,1934,101,0.0,gemma2:9b,False,True,0.2857,7,2,True,0.8667,15,2,True,1.0,1.0,1.0,1.0,True,0.0783,0.2737,0.2355,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,dependency_graph,success,11130,447,96,0.0,gemma2:9b,False,True,0.3333,6,2,True,0.4,15,9,True,1.0,1.0,1.0,1.0,True,0.0622,0.2609,0.1901,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,knowledge_graph,success,11685,567,107,0.0,gemma2:9b,False,True,0.125,8,1,True,0.4,15,9,True,1.0,1.0,1.0,1.0,True,0.0378,0.2553,0.254,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,raw,success,26843,1775,105,0.0,gemma2:9b,False,True,0.3333,6,2,True,0.5263,19,9,True,1.0,1.0,1.0,1.0,True,0.028,0.2192,0.212,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_framework_or_language",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,dependency_graph,success,13189,463,122,0.0,gemma2:9b,False,True,0.5,6,3,True,0.5789,19,8,True,1.0,1.0,1.0,1.0,True,0.0133,0.1842,0.1408,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,knowledge_graph,success,11460,549,108,0.0,gemma2:9b,False,True,0.0,10,0,True,0.5789,19,8,True,1.0,1.0,1.0,1.0,True,0.0092,0.1231,0.0725,0.0,False,,,,,,,"missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,raw,success,50745,6013,196,0.0,gemma2:9b,False,True,0.3636,11,4,True,0.4211,57,33,True,0.9744,0.125,0.0,0.3665,True,0.0076,0.1707,0.0746,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,dependency_graph,success,36965,1329,306,0.0,gemma2:9b,False,True,0.1429,14,2,True,1.0,57,0,True,0.9744,0.125,0.0,0.3665,True,0.0222,0.1935,0.155,0.0,False,,,,,,,"fabricated_technology,fabricated_technology",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,knowledge_graph,success,32052,1031,273,0.0,gemma2:9b,False,True,0.5,18,9,True,0.5088,57,28,True,0.9744,0.125,0.0,0.3665,True,0.007,0.1519,0.0749,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,qwen2.5-coder:7b,raw,success,39580,3790,128,0.0,gemma2:9b,False,True,0.2,10,2,True,0.3864,44,27,True,1.0,1.0,1.0,1.0,True,0.0113,0.1538,0.0877,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,qwen2.5-coder:7b,dependency_graph,success,31204,644,288,0.0,gemma2:9b,False,True,0.0952,21,2,True,1.0,44,0,True,1.0,1.0,1.0,1.0,True,0.0114,0.1587,0.0882,0.0,False,,,,,,,"fabricated_technology,fabricated_technology",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,qwen2.5-coder:7b,knowledge_graph,success,34402,701,320,0.0,gemma2:9b,False,True,0.069,29,2,True,1.0,44,0,True,1.0,1.0,1.0,1.0,True,0.0073,0.1111,0.0602,0.0,False,,,,,,,"fabricated_technology,fabricated_technology",
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,qwen2.5-coder:7b,raw,success,36579,6238,109,0.0,gemma2:9b,False,True,0.25,8,2,True,0.2105,57,45,True,1.0,1.0,0.0667,0.6889,True,0.0219,0.169,0.147,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,qwen2.5-coder:7b,dependency_graph,success,30516,984,261,0.0,gemma2:9b,False,True,0.5,12,6,True,1.0,57,0,True,1.0,1.0,0.0667,0.6889,True,0.0099,0.1739,0.0694,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology",
express-rest-boilerplate,https://github.com/danielfsousa/express-rest-boilerplate,express,qwen2.5-coder:7b,knowledge_graph,success,26794,954,248,0.0,gemma2:9b,False,True,0.3077,13,4,True,0.7193,57,16,True,1.0,1.0,0.0667,0.6889,True,0.0061,0.1356,0.0429,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,qwen2.5-coder:7b,raw,success,34679,5908,99,0.0,gemma2:9b,False,True,0.2857,7,2,True,0.2381,63,48,True,1.0,1.0,0.4,0.8,True,0.0095,0.2034,0.1017,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,over_generic",
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,qwen2.5-coder:7b,dependency_graph,success,45104,3971,287,0.0,gemma2:9b,False,True,0.5,12,6,True,1.0,63,0,True,1.0,1.0,0.4,0.8,True,0.0209,0.2462,0.1218,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology",
node-express-mongodb-jwt-rest-api-skeleton,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton,express,qwen2.5-coder:7b,knowledge_graph,success,36311,1954,276,0.0,gemma2:9b,False,True,0.3571,14,5,True,1.0,63,0,True,1.0,1.0,0.4,0.8,True,0.0196,0.1905,0.1066,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology",
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,qwen2.5-coder:7b,raw,success,41840,5636,120,0.0,gemma2:9b,False,True,0.2222,9,2,True,0.2424,33,25,True,1.0,1.0,1.0,1.0,True,0.0485,0.2597,0.2709,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,qwen2.5-coder:7b,dependency_graph,success,18410,597,171,0.0,gemma2:9b,False,True,0.2,10,2,True,0.6364,33,12,True,1.0,1.0,1.0,1.0,True,0.0263,0.1739,0.1503,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,qwen2.5-coder:7b,knowledge_graph,success,15863,685,149,0.0,gemma2:9b,False,True,0.1,10,1,True,0.6364,33,12,True,1.0,1.0,1.0,1.0,True,0.0101,0.1786,0.0649,0.0,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,qwen2.5-coder:7b,raw,success,40920,5019,142,0.0,gemma2:9b,False,True,0.4545,11,5,True,0.4324,37,21,True,1.0,1.0,1.0,1.0,True,0.0114,0.186,0.1359,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint",
