repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,coverage_judged,coverage_score,total_facts,missing_facts,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,text_overlap_scored,bleu4,rouge_l,meteor,bertscore_f1,quality_judged,quality_mean_score,quality_completeness,quality_conciseness,quality_correctness,quality_cohesiveness,quality_domain_specificity,failure_tags,summary_text,missing_facts_list,unsupported_claims_list,facts_by_category,error
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,qwen2.5-coder:7b,raw,success,43306,5781,108,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,82,0,True,1.0,0.1765,1.0,0.7255,True,0.0086,0.25,0.1098,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository is a NestJS application that implements a real-world API, likely for a blogging or social media platform. It includes features like user authentication, article creation and management, commenting, and following users."",
  ""tech_stack"": [""TypeScript"", ""NestJS"", ""TypeORM""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""@nestjs/common"", ""@nestjs/core"", ""@nestjs/typeorm"", ""typeorm"", ""class-validator"", ""class-transformer"", ""jsonwebtoken""]
}",[],"[""This repository is a NestJS application that implements a real-world API, likely for a blogging or social media platform.""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 32, ""Endpoint"": 21, ""Class/Service"": 27}",
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,qwen2.5-coder:7b,dependency_graph,success,27122,1183,214,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,82,0,True,1.0,0.1765,1.0,0.7255,True,0.0068,0.1687,0.0706,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository appears to be a NestJS application that includes modules for user management, article creation, and tagging. It uses TypeORM for database operations and Passport-JWT for authentication."",
  ""tech_stack"": [""TypeScript"", ""NestJS"", ""TypeORM"", ""Passport-JWT""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""@nestjs/common"", ""@nestjs/core"", ""@nestjs/microservices"", ""@nestjs/platform-express"", ""@nestjs/swagger"", ""@nestjs/testing"", ""@nestjs/typeorm"", ""@nestjs/websockets"", ""@types/jest"", ""@types/node"", ""argon2"", ""atob"", ""class-transformer"", ""class-validator"", ""crypto"", ""crypto-js"", ""deep-extend"", ""extend"", ""jest"", ""jsonwebtoken"", ""mysql"", ""nodemon"", ""passport-jwt"", ""reflect-metadata"", ""rxjs"", ""slug"", ""supertest"", ""swagger-ui-express"", ""ts-jest"", ""ts-node"", ""typeorm"", ""typescript""]
}",[],"[""Passport-JWT""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 32, ""Endpoint"": 21, ""Class/Service"": 27}",
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,qwen2.5-coder:7b,knowledge_graph,success,25740,1058,223,0.0,mistral:7b-instruct,False,True,0.2,5,1,True,1.0,82,0,True,1.0,0.1765,1.0,0.7255,True,0.0091,0.2222,0.1091,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository is a NestJS application that provides a backend service for managing articles, users, and tags. It includes endpoints for creating, updating, and deleting articles and users, as well as for following and unfollowing users."",
  ""tech_stack"": [""NestJS"", ""TypeORM"", ""MySQL"", ""JWT"", ""argon2""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""@nestjs/common"", ""@nestjs/core"", ""@nestjs/microservices"", ""@nestjs/platform-express"", ""@nestjs/swagger"", ""@nestjs/testing"", ""@nestjs/typeorm"", ""@nestjs/websockets"", ""@types/jest"", ""@types/node"", ""argon2"", ""atob"", ""class-transformer"", ""class-validator"", ""crypto"", ""crypto-js"", ""deep-extend"", ""extend"", ""jest"", ""jsonwebtoken"", ""mysql"", ""nodemon"", ""passport-jwt"", ""reflect-metadata"", ""rxjs"", ""slug"", ""supertest"", ""swagger-ui-express"", ""ts-jest"", ""ts-node"", ""typeorm"", ""typescript""]
}",[],"[""MySQL""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 32, ""Endpoint"": 21, ""Class/Service"": 27}",
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,qwen2.5-coder:7b,raw,success,67143,6031,161,0.0,mistral:7b-instruct,False,True,0.4286,7,3,True,1.0,76,0,True,1.0,0.1892,1.0,0.7297,True,0.0085,0.1818,0.1023,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology","{
  ""overview"": ""This repository is a NestJS application with GraphQL and Prisma for database operations. It includes authentication, user management, and post management features."",
  ""tech_stack"": [""TypeScript"", ""NestJS"", ""GraphQL"", ""Prisma"", ""JWT"", ""bcrypt""],
  ""services"": [""GraphQL server"", ""HTTP server""],
  ""dependencies"": [
    ""@nestjs/common"",
    ""@nestjs/core"",
    ""@nestjs/graphql"",
    ""@nestjs/jwt"",
    ""@nestjs/passport"",
    ""@nestjs/platform-express"",
    ""@nestjs/swagger"",
    ""bcrypt"",
    ""class-validator"",
    ""graphql-scalars"",
    ""graphql-tag"",
    ""prisma"",
    ""reflect-metadata"",
    ""type-graphql"",
    ""uuid""
  ]
}",[],"[""Prisma"", ""type-graphql"", ""uuid""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 2, ""Class/Service"": 32}",
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,qwen2.5-coder:7b,dependency_graph,success,38080,1517,308,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,76,0,True,1.0,0.1892,1.0,0.7297,True,0.0093,0.1765,0.1018,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository appears to be a NestJS application with GraphQL and Prisma for database operations. It includes authentication, user management, and post management features."",
  ""tech_stack"": [""TypeScript"", ""NestJS"", ""GraphQL"", ""Prisma""],
  ""services"": [""GraphQL server""],
  ""dependencies"": [""@apollo/server"", ""@devoxa/prisma-relay-cursor-connection"", ""@nestjs/apollo"", ""@nestjs/common"", ""@nestjs/config"", ""@nestjs/core"", ""@nestjs/graphql"", ""@nestjs/jwt"", ""@nestjs/passport"", ""@nestjs/platform-express"", ""@nestjs/schematics"", ""@nestjs/swagger"", ""@nestjs/testing"", ""@prisma/client"", ""@swc/cli"", ""@swc/core"", ""@types/bcrypt"", ""@types/chance"", ""@types/express"", ""@types/jest"", ""@types/node"", ""@types/supertest"", ""@typescript-eslint/eslint-plugin"", ""@typescript-eslint/parser"", ""bcrypt"", ""chance"", ""class-transformer"", ""class-validator"", ""eslint"", ""eslint-config-prettier"", ""eslint-plugin-prettier"", ""graphql"", ""graphql-scalars"", ""graphql-subscriptions"", ""jest"", ""nestjs-prisma"", ""passport"", ""passport-jwt"", ""prettier"", ""prisma"", ""prisma-dbml-generator"", ""reflect-metadata"", ""rxjs"", ""supertest"", ""ts-jest"", ""ts-loader"", ""ts-node"", ""tsconfig-paths"", ""typescript""]
}",[],"[""Prisma for database operations""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 2, ""Class/Service"": 32}",
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,qwen2.5-coder:7b,knowledge_graph,success,21177,1119,182,0.0,mistral:7b-instruct,False,True,0.2,5,1,True,1.0,76,0,True,1.0,0.1892,1.0,0.7297,True,0.0186,0.2029,0.1482,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository is a NestJS application that provides a GraphQL API for managing users and posts. It includes authentication, user management, and post management functionalities."",
  ""tech_stack"": [""TypeScript"", ""NestJS"", ""GraphQL"", ""Prisma"", ""JWT"", ""Apollo Server""],
  ""services"": [""GraphQL API""],
  ""dependencies"": [""@apollo/server"", ""@nestjs/apollo"", ""@nestjs/common"", ""@nestjs/config"", ""@nestjs/core"", ""@nestjs/graphql"", ""@nestjs/jwt"", ""@nestjs/passport"", ""@nestjs/platform-express"", ""@nestjs/schematics"", ""@nestjs/swagger"", ""@prisma/client"", ""bcrypt"", ""class-transformer"", ""class-validator"", ""graphql"", ""graphql-scalars"", ""graphql-subscriptions"", ""passport"", ""passport-jwt"", ""prisma"", ""reflect-metadata"", ""rxjs"", ""typescript""]
}",[],"[""Prisma""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 2, ""Class/Service"": 32}",
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,qwen2.5-coder:7b,raw,success,61294,5664,163,0.0,mistral:7b-instruct,False,True,0.5714,7,4,True,1.0,106,0,True,1.0,0.0191,1.0,0.673,True,0.0105,0.1515,0.0619,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology","{
  ""overview"": ""This repository is a NestJS application that provides authentication and authorization services, including email-based authentication, social media authentication (Facebook, Google, Apple), user management, and session handling."",
  ""tech_stack"": [""TypeScript"", ""NestJS"", ""TypeORM"", ""Mongoose"", ""Passport"", ""JWT"", ""bcrypt"", ""NestJS Swagger"", ""NestJS Config"", ""NestJS Mailer""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""@nestjs/common"", ""@nestjs/core"", ""@nestjs/config"", ""@nestjs/jwt"", ""@nestjs/passport"", ""@nestjs/typeorm"", ""@nestjs/mongoose"", ""bcryptjs"", ""crypto"", ""ms"", ""path"", ""typeorm"", ""mongoose"", ""nodemailer""]
}",[],"[""NestJS Swagger"", ""NestJS Mailer"", ""crypto"", ""path""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 24, ""Class/Service"": 40}",
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,qwen2.5-coder:7b,dependency_graph,success,68009,6716,369,0.0,mistral:7b-instruct,False,True,0.2857,7,2,True,0.8208,106,19,True,1.0,0.0191,1.0,0.673,True,0.011,0.137,0.0755,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service","{
  ""overview"": ""This repository is a NestJS application that includes modules for user management, file handling, authentication (Facebook, Google, Apple), email services, and more. It uses MongoDB and PostgreSQL for database operations and provides RESTful APIs."",
  ""tech_stack"": [""TypeScript"", ""NestJS"", ""MongoDB"", ""PostgreSQL"", ""JWT"", ""Passport"", ""Multer"", ""AWS SDK"", ""Nodemailer""],
  ""services"": [""HTTP server"", ""background worker""],
  ""dependencies"": [""@aws-sdk/client-s3"", ""@aws-sdk/s3-request-presigner"", ""@nestjs/cli"", ""@nestjs/common"", ""@nestjs/config"", ""@nestjs/core"", ""@nestjs/jwt"", ""@nestjs/mongoose"", ""@nestjs/passport"", ""@nestjs/platform-express"", ""@nestjs/schematics"", ""@nestjs/swagger"", ""@nestjs/testing"", ""@nestjs/typeorm"", ""bcryptjs"", ""class-transformer"", ""class-validator"", ""dotenv"", ""env-cmd"", ""eslint"", ""eslint-config-prettier"", ""eslint-plugin-prettier"", ""google-auth-library"", ""handlebars"", ""helmet"", ""husky"", ""hygen"", ""is-ci"", ""jest"", ""mongoose"", ""mongoose-autopopulate"", ""ms"", ""multer"", ""multer-s3"", ""nestjs-i18n"", ""nodemailer"", ""passport"", ""passport-anonymous"", ""passport-jwt"", ""pg"", ""prettier"", ""prompts"", ""reflect-metadata"", ""release-it"", ""rimraf"", ""rxjs"", ""source-map-support"", ""supertest"", ""swagger-ui-express"", ""ts-jest"", ""ts-loader"", ""ts-node"", ""tsconfig-paths"", ""tslib"", ""typeorm"", ""typescript""]
}","[""Class/Service: AuthAppleController"", ""Class/Service: AuthAppleModule"", ""Class/Service: AuthAppleService"", ""Class/Service: AuthAppleLoginDto"", ""Class/Service: AuthFacebookController"", ""Class/Service: AuthFacebookModule"", ""Class/Service: AuthFacebookService"", ""Class/Service: AuthFacebookLoginDto"", ""Class/Service: AuthGoogleController"", ""Class/Service: AuthGoogleModule"", ""Class/Service: AuthGoogleService"", ""Class/Service: AuthGoogleLoginDto"", ""Class/Service: CreateUser1715028537217"", ""Class/Service: MongooseConfigService"", ""Class/Service: SeedModule"", ""Class/Service: UserSeedModule"", ""Class/Service: UserSeedService"", ""Class/Service: RoleSeedModule"", ""Class/Service: RoleSeedService""]","[""MongoDB"", ""PostgreSQL""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 24, ""Class/Service"": 40}",
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,qwen2.5-coder:7b,knowledge_graph,success,28183,3260,181,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,106,0,True,1.0,0.0191,1.0,0.673,True,0.0121,0.1408,0.076,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository is a NestJS application that provides various services including authentication (Facebook, Google, Apple), file management, and user management. It uses MongoDB for data storage and AWS S3 for file uploads."",
  ""tech_stack"": [""TypeScript"", ""NestJS"", ""MongoDB"", ""AWS S3""],
  ""services"": [""HTTP server"", ""background worker""],
  ""dependencies"": [""@aws-sdk/client-s3"", ""@aws-sdk/s3-request-presigner"", ""@nestjs/common"", ""@nestjs/config"", ""@nestjs/jwt"", ""@nestjs/mongoose"", ""@nestjs/passport"", ""@nestjs/platform-express"", ""@nestjs/typeorm"", ""bcryptjs"", ""class-transformer"", ""class-validator"", ""dotenv"", ""mongoose"", ""mongoose-autopopulate"", ""multer-s3"", ""pg"", ""reflect-metadata"", ""typeorm""]
}",[],"[""MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 24, ""Class/Service"": 40}",
ack-nestjs-boilerplate,https://github.com/andrechristikan/ack-nestjs-boilerplate,nestjs,qwen2.5-coder:7b,raw,failed,900106,0,0,0.0,mistral:7b-instruct,False,False,0.0,0,0,False,0.0,0,0,True,1.0,0.0018,1.0,0.6673,False,,,,,False,,,,,,,malformed_output,,[],[],{},
