repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,mistral:7b,raw,success,33925,2461,109,0.0,gemma2:9b,False,True,0.5,6,3,True,1.0,0.0,0.1333,0.3778,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,mistral:7b,dependency_graph,success,11593,382,127,0.0,gemma2:9b,False,True,0.1111,9,1,True,1.0,0.0,0.1333,0.3778,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,mistral:7b,knowledge_graph,success,12548,507,86,0.0,gemma2:9b,False,True,0.0,6,0,True,1.0,0.0,0.1333,0.3778,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,mistral:7b,raw,success,59451,2217,127,0.0,gemma2:9b,False,True,0.4286,7,3,True,1.0,0.0,0.2857,0.4286,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,mistral:7b,dependency_graph,success,20591,393,143,0.0,gemma2:9b,False,False,0.0,0,0,True,1.0,0.0,0.2857,0.4286,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,mistral:7b,knowledge_graph,success,25985,510,208,0.0,gemma2:9b,False,True,0.0,10,0,True,1.0,0.0,0.2857,0.4286,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,mistral:7b,raw,success,64195,2883,128,0.0,gemma2:9b,False,True,0.2222,9,2,True,0.8636,0.0,0.0,0.2879,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,mistral:7b,dependency_graph,success,55158,1273,345,0.0,gemma2:9b,False,True,0.2857,14,4,True,0.8636,0.0,0.0,0.2879,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,mistral:7b,knowledge_graph,success,46649,1262,335,0.0,gemma2:9b,False,True,0.2143,14,3,True,0.8636,0.0,0.0,0.2879,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,mistral:7b,raw,success,50615,2688,107,0.0,gemma2:9b,False,True,0.1429,7,1,True,1.0,0.0,1.0,0.6667,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,mistral:7b,dependency_graph,success,44924,998,298,0.0,gemma2:9b,False,True,0.4667,15,7,True,1.0,0.0,1.0,0.6667,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,mistral:7b,knowledge_graph,success,46844,1226,332,0.0,gemma2:9b,False,True,0.125,16,2,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,mistral:7b,raw,success,54923,2823,130,0.0,gemma2:9b,False,True,0.375,8,3,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,mistral:7b,dependency_graph,success,63446,1335,437,0.0,gemma2:9b,False,True,0.2,15,3,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,mistral:7b,knowledge_graph,success,44066,1353,272,0.0,gemma2:9b,False,True,1.0,18,18,True,1.0,0.0,1.0,0.6667,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,mistral:7b,raw,success,52229,2777,101,0.0,gemma2:9b,False,False,0.0,0,0,True,0.9373,0.0,0.0488,0.3287,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,mistral:7b,dependency_graph,success,115924,2051,682,0.0,gemma2:9b,False,True,0.7059,34,24,True,0.9373,0.0,0.0488,0.3287,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,mistral:7b,knowledge_graph,success,132468,2051,754,0.0,gemma2:9b,False,True,1.0,25,25,True,0.9373,0.0,0.0488,0.3287,
