repo_name,model,context_variant,fact,category,oracle_strict,oracle_lenient,rule,judge_said_missing
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Framework: express ^4.18.2,Framework,1,1,framework_name,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Language: javascript,Language,0,1,language_abbrev,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Dependency: cors,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Dependency: express,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Dependency: pg,Dependency,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Dependency: pg-hstore,Dependency,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Dependency: sequelize,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Endpoint: GET /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Endpoint: POST /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Endpoint: GET /api/tutorials/published,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Endpoint: GET /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Endpoint: PUT /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Endpoint: DELETE /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Endpoint: DELETE /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,raw,Endpoint: GET /,Endpoint,0,1,endpoint_path_only,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Framework: express ^4.18.2,Framework,1,1,framework_name,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Language: javascript,Language,0,1,language_abbrev,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Dependency: cors,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Dependency: express,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Dependency: pg,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Dependency: pg-hstore,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Dependency: sequelize,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Endpoint: GET /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Endpoint: POST /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Endpoint: GET /api/tutorials/published,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Endpoint: GET /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Endpoint: PUT /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Endpoint: DELETE /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Endpoint: DELETE /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,Endpoint: GET /,Endpoint,0,1,endpoint_path_only,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Framework: express ^4.18.2,Framework,1,1,framework_name,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Language: javascript,Language,0,1,language_abbrev,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Dependency: cors,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Dependency: express,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Dependency: pg,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Dependency: pg-hstore,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Dependency: sequelize,Dependency,1,1,dep_exact,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Endpoint: GET /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Endpoint: POST /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Endpoint: GET /api/tutorials/published,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Endpoint: GET /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Endpoint: PUT /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Endpoint: DELETE /api/tutorials/:id,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Endpoint: DELETE /api/tutorials,Endpoint,0,0,,0
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,Endpoint: GET /,Endpoint,0,1,endpoint_path_only,0
node_passport_login,codellama:7b-instruct,raw,Framework: express ^5.2.1,Framework,1,1,framework_name,0
node_passport_login,codellama:7b-instruct,raw,Language: javascript,Language,1,1,language_exact,0
node_passport_login,codellama:7b-instruct,raw,Dependency: bcryptjs,Dependency,0,0,,0
node_passport_login,codellama:7b-instruct,raw,Dependency: connect-flash,Dependency,1,1,dep_exact,0
node_passport_login,codellama:7b-instruct,raw,Dependency: ejs,Dependency,1,1,dep_exact,0
node_passport_login,codellama:7b-instruct,raw,Dependency: express,Dependency,1,1,dep_exact,0
node_passport_login,codellama:7b-instruct,raw,Dependency: express-ejs-layouts,Dependency,1,1,dep_exact,0
node_passport_login,codellama:7b-instruct,raw,Dependency: express-session,Dependency,1,1,dep_exact,0
node_passport_login,codellama:7b-instruct,raw,Dependency: mongoose,Dependency,1,1,dep_exact,0
node_passport_login,codellama:7b-instruct,raw,Dependency: passport,Dependency,1,1,dep_exact,0
node_passport_login,codellama:7b-instruct,raw,Dependency: passport-local,Dependency,0,0,,0
node_passport_login,codellama:7b-instruct,raw,Dependency: nodemon,Dependency,0,0,,0
node_passport_login,codellama:7b-instruct,raw,Endpoint: GET /,Endpoint,0,1,endpoint_path_only,0
node_passport_login,codellama:7b-instruct,raw,Endpoint: GET /dashboard,Endpoint,0,0,,0
