repo_name,model,context_variant,judge_model,total_facts,covered_strict,covered_lenient,oracle_coverage_strict,oracle_coverage_lenient,judge_coverage_score,judge_coverage_judged,total_candidates,supported,unsupported,oracle_unsupported_rate,input_tokens,output_tokens,latency_ms,per_category_strict,per_category_lenient,rule_histogram,unsupported_samples
node-express-sequelize-postgresql,codellama:7b-instruct,raw,mistral:7b-instruct,15,4,6,0.2667,0.4,1.0,1,1,0,1,1.0,2555,119,112377,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.6, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.6, ""Endpoint"": 0.125}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 3, ""endpoint_path_only"": 1}","[""Node.js""]"
node-express-sequelize-postgresql,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,15,6,8,0.4,0.5333,1.0,1,1,0,1,1.0,549,94,22187,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.125}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 5, ""endpoint_path_only"": 1}","[""Node.js""]"
node-express-sequelize-postgresql,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,15,6,8,0.4,0.5333,1.0,1,1,0,1,1.0,675,137,17238,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.125}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 5, ""endpoint_path_only"": 1}","[""Node.js""]"
node_passport_login,codellama:7b-instruct,raw,mistral:7b-instruct,19,9,10,0.4737,0.5263,1.0,1,2,2,0,0.0,2348,141,58681,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.7, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.7, ""Endpoint"": 0.1429}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 7, ""endpoint_path_only"": 1}",[]
node_passport_login,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,19,11,12,0.5789,0.6316,1.0,1,2,2,0,0.0,556,137,26510,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.9, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.9, ""Endpoint"": 0.1429}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 9, ""endpoint_path_only"": 1}",[]
node_passport_login,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,19,12,13,0.6316,0.6842,1.0,1,2,2,0,0.0,650,152,18262,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.1429}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 10, ""endpoint_path_only"": 1}",[]
node-express-boilerplate,codellama:7b-instruct,raw,mistral:7b-instruct,57,3,6,0.0526,0.1053,1.0,1,2,1,1,0.5,8164,101,81774,"{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.025, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.025, ""Endpoint"": 0.2}","{""framework_name"": 1, ""language_exact"": 1, ""dep_exact"": 1, ""endpoint_path_only"": 3}","[""Node.js""]"
node-express-boilerplate,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,57,41,45,0.7193,0.7895,0.9123,1,3,2,1,0.3333,1817,350,73160,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.2}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 40, ""endpoint_path_only"": 3}","[""Node.js""]"
node-express-boilerplate,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,57,41,45,0.7193,0.7895,0.807,1,1,0,1,1.0,1309,338,64267,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 1.0, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 1.0, ""Endpoint"": 0.2}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 40, ""endpoint_path_only"": 3}","[""Node.js""]"
express-mongoose-es6-rest-api,codellama:7b-instruct,raw,mistral:7b-instruct,44,5,6,0.1136,0.1364,1.0,1,1,0,1,1.0,4966,106,82969,"{""Framework"": 1.0, ""Language"": 0.0, ""Dependency"": 0.1176, ""Endpoint"": 0.0}","{""Framework"": 1.0, ""Language"": 1.0, ""Dependency"": 0.1176, ""Endpoint"": 0.0}","{""framework_name"": 1, ""language_abbrev"": 1, ""dep_exact"": 4}","[""Node.js""]"
