repo_name,source_url,framework,model,context_variant,judge_model,self_judged,coverage_score,total_facts,missing_facts,missing_facts_list,coverage_judged,unmatched_verdict_items,unmatched_samples,hallucination_score,total_claims,unsupported_claims,hallucination_judged,elapsed_s,judged_at,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,raw,gemma2:9b,0,0.2,15,12,"[""Framework: express ^4.18.2"", ""Language: javascript"", ""Dependency: pg"", ""Dependency: pg-hstore"", ""Endpoint: GET /api/tutorials"", ""Endpoint: POST /api/tutorials"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: GET /api/tutorials/:id"", ""Endpoint: PUT /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials"", ""Endpoint: GET /""]",1,0,[],0.125,8,['body-parser'],1,47.9,2026-08-27 14:46:42,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,0.3333,15,10,"[""Framework: express ^4.18.2"", ""Language: javascript"", ""Endpoint: GET /api/tutorials"", ""Endpoint: POST /api/tutorials"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: GET /api/tutorials/:id"", ""Endpoint: PUT /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials"", ""Endpoint: GET /""]",1,0,[],0.1429,7,['Node.js'],1,25.5,2026-08-27 14:47:30,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,0.3333,15,10,"[""Framework: express ^4.18.2"", ""Language: javascript"", ""Endpoint: GET /api/tutorials"", ""Endpoint: POST /api/tutorials"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: GET /api/tutorials/:id"", ""Endpoint: PUT /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials"", ""Endpoint: GET /""]",1,0,[],0.25,8,"['PostgreSQL', 'Sequelize']",1,27.4,2026-08-27 14:47:56,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,raw,gemma2:9b,0,0.3684,19,12,"[""Framework: express ^5.2.1"", ""Dependency: bcryptjs"", ""Endpoint: GET /"", ""Endpoint: GET /dashboard"", ""Endpoint: GET /users/register"", ""Endpoint: POST /users/register"", ""Endpoint: POST /users/login"", ""Endpoint: GET /users/logout"", ""Endpoint: GET /users/login"", ""Language: javascript"", ""Dependency: ejs"", ""Dependency: nodemon""]",1,0,[],0.25,8,"['MongoDB', 'Passport.js']",1,27.1,2026-08-27 14:48:23,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,0.5789,19,8,"[""Framework: express ^5.2.1"", ""Endpoint: GET /"", ""Endpoint: GET /dashboard"", ""Endpoint: GET /users/register"", ""Endpoint: POST /users/register"", ""Endpoint: POST /users/login"", ""Endpoint: GET /users/logout"", ""Endpoint: GET /users/login""]",1,0,[],0.3333,6,"['MongoDB', 'Passport.js']",1,17.7,2026-08-27 14:48:50,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,0.5789,19,8,"[""Framework: express ^5.2.1"", ""Endpoint: GET /"", ""Endpoint: GET /dashboard"", ""Endpoint: GET /users/register"", ""Endpoint: POST /users/register"", ""Endpoint: POST /users/login"", ""Endpoint: GET /users/logout"", ""Endpoint: GET /users/login""]",1,0,[],0.2,10,"['Passport.js', 'background worker']",1,23.3,2026-08-27 14:49:08,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,raw,gemma2:9b,0,0.0526,57,54,"[""Framework: express ^4.17.1"", ""Dependency: bcryptjs"", ""Dependency: compression"", ""Dependency: cors"", ""Dependency: cross-env"", ""Dependency: dotenv"", ""Dependency: express-mongo-sanitize"", ""Dependency: express-rate-limit"", ""Dependency: helmet"", ""Dependency: http-status"", ""Dependency: joi"", ""Dependency: jsonwebtoken"", ""Dependency: moment"", ""Dependency: mongoose"", ""Dependency: morgan"", ""Dependency: nodemailer"", ""Dependency: passport"", ""Dependency: passport-jwt"", ""Dependency: pm2"", ""Dependency: swagger-jsdoc"", ""Dependency: swagger-ui-express"", ""Dependency: validator"", ""Dependency: winston"", ""Dependency: xss-clean"", ""Dependency: coveralls"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-plugin-import"", ""Dependency: eslint-plugin-jest"", ""Dependency: eslint-plugin-prettier"", ""Dependency: eslint-plugin-security"", ""Dependency: faker"", ""Dependency: husky"", ""Dependency: jest"", ""Dependency: lint-staged"", ""Dependency: node-mocks-http"", ""Dependency: nodemon"", ""Dependency: prettier"", ""Dependency: supertest"", ""Endpoint: OPTIONS *"", ""Endpoint: POST /login"", ""Endpoint: POST /send-verification-email"", ""Endpoint: POST /reset-password"", ""Endpoint: POST /verify-email"", ""Endpoint: POST /logout"", ""Endpoint: POST /refresh-tokens"", ""Endpoint: POST /register"", ""Endpoint: POST /forgot-password"", ""Endpoint: GET /"", ""Endpoint: DELETE /:userId"", ""Endpoint: POST /"", ""Endpoint: PATCH /:userId"", ""Endpoint: GET /:userId""]",1,0,[],0.2,5,['MongoDB'],1,76.2,2026-08-27 14:49:31,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,dependency_graph,gemma2:9b,0,1.0,57,0,[],1,0,[],0.2727,11,"['Mongoose', 'MongoDB', 'JWT']",1,11.5,2026-08-27 14:50:47,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,knowledge_graph,gemma2:9b,0,0.9649,57,2,"[""Framework: express ^4.17.1"", ""Language: javascript""]",1,0,[],0.0357,28,['background worker'],1,13.9,2026-08-27 14:50:59,
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,raw,gemma2:9b,0,0.1136,44,39,"[""Framework: express 4.16.3"", ""Language: javascript"", ""Dependency: bluebird"", ""Dependency: body-parser"", ""Dependency: compression"", ""Dependency: cookie-parser"", ""Dependency: cors"", ""Dependency: debug"", ""Dependency: express-jwt"", ""Dependency: express-validation"", ""Dependency: express-winston"", ""Dependency: helmet"", ""Dependency: http-status"", ""Dependency: joi"", ""Dependency: method-override"", ""Dependency: winston"", ""Dependency: chai"", ""Dependency: commitizen"", ""Dependency: coveralls"", ""Dependency: cross-env"", ""Dependency: cz-conventional-changelog"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Dependency: eslint-watch"", ""Dependency: husky"", ""Dependency: istanbul"", ""Dependency: mocha"", ""Dependency: supertest"", ""Dependency: supertest-as-promised"", ""Dependency: validate-commit-msg"", ""Endpoint: GET /api/health-check"", ""Endpoint: POST /api/auth/login"", ""Endpoint: GET /api/auth/random-number"", ""Endpoint: POST /api/users"", ""Endpoint: GET /api/users"", ""Endpoint: DELETE /api/users/:userId"", ""Endpoint: GET /api/users/:userId"", ""Endpoint: PUT /api/users/:userId""]",1,0,[],0.3333,6,"['Mongoose', 'JSON Web Tokens']",1,57.1,2026-08-27 14:51:13,
