repo_name,source_url,framework,model,context_variant,judge_model,self_judged,coverage_score,total_facts,missing_facts,missing_facts_list,coverage_judged,unmatched_verdict_items,unmatched_samples,hallucination_score,total_claims,unsupported_claims,hallucination_judged,elapsed_s,judged_at,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,0.4,15,9,"[""Dependency: pg"", ""Dependency: pg-hstore"", ""Endpoint: GET /"", ""Endpoint: POST /api/tutorials"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: GET /api/tutorials/:id"", ""Endpoint: PUT /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials""]",1,0,[],0.5,4,"['Sequelize', 'PostgreSQL']",1,48.4,2026-08-27 18:16:39,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.4667,15,8,"[""Framework: express ^4.18.2"", ""Endpoint: POST /api/tutorials"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: GET /api/tutorials/:id"", ""Endpoint: PUT /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials"", ""Endpoint: GET /""]",1,0,[],0.25,4,['This repository appears to be a web application that provides a tutorial on a specific topic.'],1,20.2,2026-08-27 18:17:27,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,0.7333,15,4,"[""Framework: express ^4.18.2"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: DELETE /api/tutorials"", ""Endpoint: GET /""]",1,0,[],0.25,4,['PostgreSQL'],1,9.2,2026-08-27 18:17:47,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,0.6842,19,6,"[""Dependency: bcryptjs"", ""Dependency: ejs"", ""Dependency: nodemon"", ""Endpoint: GET /"", ""Endpoint: GET /users/logout"", ""Endpoint: POST /users/login""]",1,0,[],0.25,4,['MongoDB'],1,7.1,2026-08-27 18:17:57,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.5789,19,8,"[""Framework: express ^5.2.1"", ""Endpoint: GET /"", ""Endpoint: GET /dashboard"", ""Endpoint: GET /users/register"", ""Endpoint: POST /users/register"", ""Endpoint: POST /users/login"", ""Endpoint: GET /users/logout"", ""Endpoint: GET /users/login""]",1,0,[],0.25,4,['MongoDB'],1,16.1,2026-08-27 18:18:04,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,0.6316,19,7,"[""Endpoint: GET /"", ""Endpoint: GET /dashboard"", ""Endpoint: GET /users/register"", ""Endpoint: POST /users/register"", ""Endpoint: POST /users/login"", ""Endpoint: GET /users/logout"", ""Endpoint: GET /users/login""]",1,0,[],0.0,0,[],1,12.7,2026-08-27 18:18:20,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,0.0877,57,52,"[""Framework: express ^4.17.1"", ""Language: javascript"", ""Dependency: bcryptjs"", ""Dependency: compression"", ""Dependency: cors"", ""Dependency: cross-env"", ""Dependency: dotenv"", ""Dependency: express-mongo-sanitize"", ""Dependency: express-rate-limit"", ""Dependency: helmet"", ""Dependency: http-status"", ""Dependency: joi"", ""Dependency: jsonwebtoken"", ""Dependency: moment"", ""Dependency: mongoose"", ""Dependency: morgan"", ""Dependency: nodemailer"", ""Dependency: passport"", ""Dependency: passport-jwt"", ""Dependency: pm2"", ""Dependency: swagger-jsdoc"", ""Dependency: swagger-ui-express"", ""Dependency: validator"", ""Dependency: winston"", ""Dependency: xss-clean"", ""Dependency: coveralls"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-plugin-import"", ""Dependency: eslint-plugin-jest"", ""Dependency: eslint-plugin-prettier"", ""Dependency: eslint-plugin-security"", ""Dependency: faker"", ""Dependency: husky"", ""Dependency: jest"", ""Dependency: lint-staged"", ""Dependency: node-mocks-http"", ""Dependency: nodemon"", ""Dependency: prettier"", ""Dependency: supertest"", ""Endpoint: OPTIONS *"", ""Endpoint: POST /send-verification-email"", ""Endpoint: POST /reset-password"", ""Endpoint: POST /verify-email"", ""Endpoint: POST /logout"", ""Endpoint: POST /refresh-tokens"", ""Endpoint: DELETE /:userId"", ""Endpoint: POST /"", ""Endpoint: PATCH /:userId"", ""Endpoint: GET /:userId"", ""Endpoint: GET /""]",1,0,[],0.25,4,['This repository contains a Node.js boilerplate for building RESTful APIs with Express.js and MongoDB.'],1,68.7,2026-08-27 18:18:33,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,dependency_graph,mistral:7b-instruct,0,0.9123,57,5,"[""Endpoint: OPTIONS *"", ""Endpoint: POST /send-verification-email"", ""Endpoint: DELETE /:userId"", ""Endpoint: GET /:userId"", ""Endpoint: POST /""]",1,0,[],0.2,5,['Mongoose as the ODM for MongoDB'],1,9.7,2026-08-27 18:19:41,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,knowledge_graph,mistral:7b-instruct,0,0.7544,57,14,"[""Endpoint: OPTIONS *"", ""Endpoint: POST /send-verification-email"", ""Endpoint: DELETE /:userId"", ""Endpoint: GET /:userId"", ""Endpoint: POST /"", ""Endpoint: PATCH /:userId"", ""Dependency: eslint-plugin-security"", ""Dependency: coveralls"", ""Dependency: winston"", ""Dependency: xss-clean"", ""Dependency: supertest"", ""Dependency: swagger-jsdoc"", ""Dependency: swagger-ui-express"", ""Dependency: validator""]",1,0,[],0.0,5,[],1,15.6,2026-08-27 18:19:51,
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,raw,mistral:7b-instruct,0,1.0,44,0,[],1,44,"[""1"", ""2"", ""3"", ""4"", ""5""]",1.0,4,"['This repository contains a simple RESTful API built with Node.js, Express, and Mongoose.', 'It includes a user model', 'user routes', 'authentication routes.']",1,30.8,2026-08-27 18:20:07,
